,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070102,070134,070608,070820,071009,071052,071208,071252,071336,071419,071514,071621,071842,071926,072020
1,MS1695-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070102,070251,070346,070441,070525,071052,071252,071452,071547,071643,071715,071821,071926,072020,072053,072158,072652,072903,073020,073157,073303,073347,073430,073524,073630,073758,073936,074042,074125
2,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070102,070251,070430,070546,070842,070947,071031,071114,071219,071303,071715,071915,072053,072220,072303,072409,072525,072620,072725,072820,072925,073419,073725,073853,074042,074147,074358,074505,074611,074749,074821,075000,075116,075233
3,MS2259-0,,,,,,,,,,,,,,,,,,,,,,,,,,070102,070148,070218,070419,070514,070536,070619,070652,070714,070820,071157,,,071547,071715,071821,072042,,072736,,,,,,,,,,074810,075021,075116,075222,075316,075505,075527,075633,075738,075916,080425,080730,080908,081047,081130,081236,081458,,,081858,082259,082321,082511
4,MS1935-0,,,,,,,,,,,,,070102,070134,070536,070703,070758,070947,071020,071157,071230,071419,071643,071915,071958,072220,072358,072442,072642,072725,072831,072914,072936,072958,073125,073503,073651,073904,074009,074103,074158,074326,074443,074810,075043,075159,075454,075549,075633,075727,075821,075927,080425,080657,080908,081025,081152,081247,081436,081530,081709,,081952,082511,082807,083135,083253,083420,083643,083938,084055,084233,084306,084520,084731,085026
5,MW3053-0,070102,070302,070525,070725,070903,071147,071241,071408,071514,071547,071705,071748,071937,072241,072620,072725,072809,072914,072958,073114,073147,073336,073535,073747,073831,074020,074147,074253,074432,074538,074611,074738,074810,074832,075000,075327,075516,075800,075854,080011,080043,080223,080351,081119,081352,081530,081909,082036,082226,082321,082438,082522,083008,083242,083453,083621,083737,083832,084023,084150,084255,084403,084553,,,,,,,,,,,,,
6,MS2365-0,,072020,072252,072525,072642,072936,073031,073147,073336,073408,073557,073641,073809,074136,074527,074705,074738,074854,075032,075116,075148,075338,075527,075749,075832,080032,080149,080234,080508,080552,080635,080741,080836,080919,081036,081414,081709,081836,081941,082058,082153,082321,082427,082555,082829,082924,083242,083358,083431,083526,083621,083704,084414,084625,084815,084931,,,,,,,,,,,,,,,,,,,,
7,MW2390-1,073842,074219,074516,074810,075043,075422,075705,075821,080105,080149,080351,080435,080552,080919,081258,081414,081458,081552,081636,081803,081836,082025,082248,082449,082555,082734,082924,083018,083146,083253,083358,083537,083621,083643,083810,084117,084350,084531,084614,084731,084815,084953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MW2856-0,,075600,075811,080105,080329,080635,080825,080930,081036,081130,081309,081403,081530,081847,082237,082416,082449,082617,082734,082902,082946,083231,083420,083654,083759,083948,084139,084212,084425,084531,084741,084942,085004,085037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MW2780-1,,083040,083409,083559,083810,084055,084350,084542,084709,084815,085004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
