,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,AA7562-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070102,084416
1,MX4598-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070102,070210,070339,070508,070908,071036,085018
2,AA7712-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070102,070210,070317,070435,070530,070709,070803,070836,071320,071447,071806,072146,072409,072558,072831,072958,073231
3,MX4021-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070102,070146,070317,070658,070836,071108,071214,071331,071426,071542,071700,071744,072207,072335,072620,072853,073104,073442,073655,073811,074000
4,MX4159-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070102,070146,070317,070435,070709,070847,071108,071225,071342,071436,071605,071711,071744,072218,072346,072620,072915,073104,073453,073706,073833,074033
5,MX4338-0,,,,,,,,,,,,,,,,,,,,,,,,,070102,070223,070255,070435,070614,070730,070836,070941,071247,071426,071638,071755,071850,071934,072124,072157,072240,072704,072820,073020,073315,073515,073716,074106,074222,074350
6,MX4365-0,,,,,,,,,,,,,,,,070102,070234,070413,070457,070541,070709,071025,071214,071353,071458,071616,071711,071839,072007,072146,072302,072409,072704,072904,073125,073242,073337,073420,073611,073727,073822,074255,074414,074658,074921,075059,075259,075510,075649,075912
7,MX4383-0,,,,,,,,,,,070102,070146,070223,070350,070530,070636,070752,070847,070930,071025,071141,071531,071722,072018,072124,072240,072324,072442,072558,072726,072926,073020,073326,073431,073655,073811,073905,074000,074139,074317,074414,074826,074942,075310,075605,075733,080018,080335,080515,080653
8,AA7731-0,,,,,,,,070102,070244,070435,,071152,071258,071458,,,071733,071912,071956,072040,072146,072558,072810,,072958,073115,073209,073359,073537,073727,074106,074117,074458,074626,074731,074848,075015,075121,075142,075510,075616,080040,080157,,080916,081140,081309,081648,081806,082050
9,MX4458-0,,,,070102,070210,070435,070541,070636,070803,071014,071236,071733,071828,071934,072040,072135,072302,072442,072526,072558,072726,073042,073136,073326,073420,073537,073622,073800,073917,074044,074255,074350,074720,074826,075059,075204,075259,075342,075510,075605,075638,080113,080313,080537,080916,081106,081331,081648,081828,082101
10,MX4551-0,070102,071203,071415,071458,071542,071912,071956,072051,072218,072442,072653,073158,073304,073420,073537,073644,073811,073939,074022,074055,074211,074615,074731,074859,075037,075153,075259,075532,075649,075923,080051,080219,080526,080631,080916,081044,081203,081320,081458,081626,081722,082122,082301,082619,082937,083222,083528,084026,084204,084416
11,AA7920-0,,072537,072831,072926,072947,073253,073504,073559,073822,073939,074339,075121,075226,075404,075532,075649,075839,075955,080040,080219,080335,080704,080844,081140,081247,081414,081509,081637,081806,081922,082133,082356,082714,082831,083105,083222,083306,083412,083658,083825,083930,084343,084533,084902,085209,085410,085739,090203,090320,090509
12,MX4614-0,,073242,073515,073526,073548,073905,074000,074044,074222,074339,074731,075226,075342,075448,075554,075700,075839,075955,080051,080219,080346,080726,080905,081151,081258,081414,081520,082006,082112,082239,082356,082514,,082853,083105,083210,083244,083328,083517,083636,083709,084204,084321,084700,085040,085135,085516,085950,090130,090330
13,AA7712-1,,074044,074425,074520,074604,074932,075510,075711,075955,080208,080620,081225,081342,081531,081722,081839,082028,082155,082239,082419,082557,082926,083043,083255,083412,083539,083625,083836,083930,084332,,084756,085113,085231,085505,085706,085811,085939,090214,090309,090403,090830,091020,091359,091705,091855,092320,092807,092935,093158
14,MX4021-1,074055,075131,075448,075521,075554,075955,080240,080442,080653,080822,081236,081817,081944,082101,082301,082356,082525,082619,082652,082820,082948,083328,083444,083719,083847,084003,084120,084321,084500,084851,085113,085304,085728,085833,085939,090036,090152,090309,090458,090700,090756,091242,091432,091750,092109,092320,092627,093031,093158,093337
15,MX4338-1,074403,081531,081806,081901,081944,082133,082301,082408,082630,082853,083317,083825,083930,084120,084215,084321,084500,084555,084638,084807,084957,085315,085432,085611,085811,085917,090024,090258,090403,090542,090734,090925,091253,091421,091705,091823,091939,092014,092214,092353,092459,092935,093103,093421,093750,093940,094321,094713,094842,095054
16,AA7450-0,074436,,075048,075131,075215,075733,075955,080324,080526,080653,081044,081722,081817,082017,082112,082217,082345,082546,082630,082714,082842,083127,083339,,083719,083814,083930,084142,084310,084627,084935,084946,085443,085622,085728,085855,090002,090225,090403,090553,090649,091104,091315,091600,091918,092142,092616,093031,093147,093337
17,MX4159-1,075605,075934,080313,080335,080420,080642,080715,080854,081117,081258,081648,082239,082334,082441,082619,082714,082853,082959,083105,083210,083350,083719,083847,084120,084248,084416,084500,084638,084756,085124,085315,085432,085750,085844,090057,090203,090258,090403,090553,090723,090808,091304,091505,091801,092120,092320,092723,093231,093410,093622
